-22 0 22 65 87 73 58 36 22 -15 36 -22 -15 -51 -51 -36 5198
0 22 65 87 73 58 36 22 -15 36 -22 -15 -51 -51 -36 -51 2069
22 65 87 73 58 36 22 -15 36 -22 -15 -51 -51 -36 -51 -73 189
65 87 73 58 36 22 -15 36 -22 -15 -51 -51 -36 -51 -73 -36 -2596
87 73 58 36 22 -15 36 -22 -15 -51 -51 -36 -51 -73 -36 -36 -4793
73 58 36 22 -15 36 -22 -15 -51 -51 -36 -51 -73 -36 -36 -15 -6869
58 36 22 -15 36 -22 -15 -51 -51 -36 -51 -73 -36 -36 -15 -22 -7248
36 22 -15 36 -22 -15 -51 -51 -36 -51 -73 -36 -36 -15 -22 44 -7812
22 -15 36 -22 -15 -51 -51 -36 -51 -73 -36 -36 -15 -22 44 65 -8165
-15 36 -22 -15 -51 -51 -36 -51 -73 -36 -36 -15 -22 44 65 51 -7746
36 -22 -15 -51 -51 -36 -51 -73 -36 -36 -15 -22 44 65 51 58 -7276
-22 -15 -51 -51 -36 -51 -73 -36 -36 -15 -22 44 65 51 58 58 -3830
-15 -51 -51 -36 -51 -73 -36 -36 -15 -22 44 65 51 58 58 29 -1573
-51 -51 -36 -51 -73 -36 -36 -15 -22 44 65 51 58 58 29 15 1339
-51 -36 -51 -73 -36 -36 -15 -22 44 65 51 58 58 29 15 29 3333
-36 -51 -73 -36 -36 -15 -22 44 65 51 58 58 29 15 29 0 4939
-51 -73 -36 -36 -15 -22 44 65 51 58 58 29 15 29 0 0 6591
-73 -36 -36 -15 -22 44 65 51 58 58 29 15 29 0 0 -58 7611
-36 -36 -15 -22 44 65 51 58 58 29 15 29 0 0 -58 -58 7183
-36 -15 -22 44 65 51 58 58 29 15 29 0 0 -58 -58 -36 6963
-15 -22 44 65 51 58 58 29 15 29 0 0 -58 -58 -36 -73 4931
-22 44 65 51 58 58 29 15 29 0 0 -58 -58 -36 -73 -29 1829
44 65 51 58 58 29 15 29 0 0 -58 -58 -36 -73 -29 -44 -838
65 51 58 58 29 15 29 0 0 -58 -58 -36 -73 -29 -44 -44 -3056
51 58 58 29 15 29 0 0 -58 -58 -36 -73 -29 -44 -44 -36 -4740
58 58 29 15 29 0 0 -58 -58 -36 -73 -29 -44 -44 -36 0 -7032
58 29 15 29 0 0 -58 -58 -36 -73 -29 -44 -44 -36 0 51 -7796
29 15 29 0 0 -58 -58 -36 -73 -29 -44 -44 -36 0 51 44 -7961
15 29 0 0 -58 -58 -36 -73 -29 -44 -44 -36 0 51 44 51 -7955
29 0 0 -58 -58 -36 -73 -29 -44 -44 -36 0 51 44 51 73 -7512
0 0 -58 -58 -36 -73 -29 -44 -44 -36 0 51 44 51 73 73 -4487
0 -58 -58 -36 -73 -29 -44 -44 -36 0 51 44 51 73 73 58 -1672
-58 -58 -36 -73 -29 -44 -44 -36 0 51 44 51 73 73 58 44 113
-58 -36 -73 -29 -44 -44 -36 0 51 44 51 73 73 58 44 29 2399
